가상현실(VR),컴퓨터로 생성한 가상 환경
증강현실(AR),현실 환경에 디지털 정보를 겹쳐 보여주는 기술
혼합현실(MR),VR과 AR의 혼합 기술
웨어러블,몸에 착용하는 전자기기
사물인터넷(IoT),인터넷으로 연결된 기기들
스마트시티,정보기술 기반 도시 관리 시스템
나노기술,나노미터 수준의 물질 조작 기술
양자암호,양자역학을 이용한 보안 통신 기술
블록체인,분산 원장 기술
통계학,데이터 분석과 해석
확률,사건 발생 가능성
수리모델링,수학적 모델로 현상 분석
실험,가설 검증을 위한 관찰과 조작
시뮬레이션,실제 현상을 모사하는 실험
계측,물리적 양을 측정하는 기술
데이터분석,데이터를 체계적으로 분석
과학적 방법,"가설 설정, 실험, 검증 과정"
논문,연구 결과를 기록한 공식 문서
특허,발명자의 권리를 보호하는 법적 문서
