"id","name","meaning","length"
"98","government","정부, 정치의","10"
"99","exercise","운동, 연습하다","8"
"100","comparison","비교","10"
"101","interest","이익, 흥미","8"
"102","funeral","장례식","7"
"103","senior","선배, 손위에","6"
"104","junior","후배, 손아래에","6"
"105","democracy","민주주의, 민주정치","9"
"106","general","육군 장군","7"
"107","admiral","해군대장","7"
"108","edge","날, 가장자리","4"
"109","biology","생물학","7"
"110","danger","위험","6"
"111","advice","충고","6"
"112","practice","연습하다","8"
"113","mammal","포유동물","6"
"114","grade","학년","5"
"115","score","점수","5"
"116","pause","중지, 멈추다","5"
"117","pronunciation","발음","13"
"118","stress","압박, 강조하다","6"
"119","contest","경쟁","7"
"120","horizon","수평선","7"
"121","principal","교장, 주요한, 長","9"
"122","might","힘","5"
"123","trouble","고생, 걱정하다","7"
"124","scar","상처","4"
"125","balance","균형","7"
"126","proverb","속담","7"
"127","semester","학기","8"
"128","election","선거","8"
"129","inning","회","6"
"130","hollow","구멍, 속이 빈","6"
"131","degree","도, 정도","6"
"132","cemetery","묘지","8"
"133","relay","교되자, 교대하다","5"
"134","spot","지점","4"
"135","exchange","교환하다","8"
"136","merchant","상인","8"
"137","saying","격언","6"
"138","refrigerator","냉장고","12"
"139","crack","갈라진 틈","5"
"140","judge","재판관","5"
"141","slave","노예","5"
"142","settler","이주민","7"
"143","fare","요금","4"
"144","gesture","몸짓","7"
"145","planet","유성","6"
"146","type","유형","4"
"147","secretary","비서","9"
"148","devil","악마","5"
"149","scholar","학자","7"
"150","pardon","용서","6"
"151","kindergarten","유치원","12"
"152","detective","탐정","9"
"153","license","면허","7"
"154","palace","궁전","6"
"155","spade","삽","5"
"156","square","정사각형, 광장","6"
"157","fountainpen","만년필","11"
"158","harvest","수확, 추수","7"
"159","tool","도구","4"
"160","sword","칼","5"
"161","magazine","잡지","8"
"162","stadium","(육상)경기장","7"
"163","care","걱정, 조심","4"
"164","beauty","아름다움","6"
"165","museum","박물관","6"
"166","sentence","문장","8"
"167","memory","기억","6"
"168","delight","기쁨","7"
"169","passenger","승객","9"
"170","skill","숙련, 솜씨","5"
"171","journey","여행","7"
"172","ceremony","의식","8"
"173","hobby","취미","5"
"174","president","대통령","9"
"175","address","주소","7"
"176","continent","대륙","9"
"177","mankind","인간","7"
"178","patient","환자, 참을성 있는","7"
"179","site","부지","4"
"180","marble","대리석","6"
"181","stem","줄기","4"
"182","slip","미끄러짐","4"
"183","torch","횃불","5"
"184","composer","작곡가","8"
"185","invader","침입자","7"
"186","trick","계략, 속임수","5"
"187","flight","비행","6"
"188","castle","성","6"
"189","envelope","봉","8"
"190","pal","친구","3"
"191","vacation","휴가","8"
"192","desert","사막","6"
"193","event","사건","5"
"194","theater","극장","7"
"195","stage","무대","5"
"196","error","잘못","5"
"197","area","면적, 지역","4"
"198","base","기초, 기초를 두다","4"
"199","basement","지하실","8"
"200","evil","악, 나쁜[]","4"
"201","atom","원자","4"
"202","poet","시인","4"
"203","petal","꽃잎","5"
"204","chance","기회, 가능성","6"
"205","mind","마음","4"
"206","climate","기후, 풍토","7"
"207","suburb","교외","6"
"208","throat","목구멍","6"
"209","voice","목소리","5"
"210","valley","골짜기, 계곡","6"
"211","puritan","청교도","7"
"212","feather","깃털","7"
"213","amateur","아마추어","7"
"214","nation","국가","6"
"215","puzzle","수수께끼","6"
"216","riddle","수수께끼","6"
"217","rear","뒤쪽","4"
"218","battle","전투, 싸움","6"
"219","laundry","세탁소","7"
"220","shower","소나기, 샤워","6"
"221","navy","해군","4"
"222","mars","화성","4"
"223","gallery","화랑","7"
"224","guest","손님( visitor )","5"
"225","folk","사람들","4"
"226","problem","문제","7"
"227","jewel","보석","5"
"228","garage","차고","6"
"229","fault","결점, 잘못.","5"
"230","lantern","랜턴","7"
"231","import","수입(품)","6"
"232","angle","각도","5"
"233","match","시합","5"
"234","stripe","줄무늬","6"
"235","pulse","맥박","5"
"236","powder","가루, 화약","6"
"237","flood","홍수","5"
"238","bush","수풀, 덤불","4"
"239","branch","가지","6"
"240","hero","영웅 복수형:heroes","4"
"241","heaven","하늘","6"
"242","exit","출구","4"
"243","beast","짐승(=animal)","5"
"244","century","세기,년","7"
"245","coeducation","남녀 공학","11"
"246","twin","쌍둥이의 한 사람","4"
"247","wound","상처, 부상","5"
"248","metal","금속","5"
"249","insect","곤충","6"
"250","track","지나간 자국, 선로","5"
"251","deserve","받을 가치가있다,~할 만하다","7"
"252","survive","~보다 오래 살다, ~에서 살아남다","7"
"253","create","창조하다","6"
"254","describe","묘사하다","8"
"255","select","고르다, 선발한","6"
"256","hesitate","주저하다, 망설이다","8"
"257","declare","선언하다","7"
"258","pretend","~인 체하다","7"
"259","struggle","분투노력하다, 싸우다","8"
"260","explore","탐험하다","7"
"261","astonish","놀라게 하다","8"
"262","disappoint","실망시키다","10"
"263","attract","끌다","7"
"264","celebrate","축하하다","9"
"265","explode","폭발시키다","7"
"266","include","포함하다","7"
"267","protect","보호하다","7"
"268","introduce","소개하다, 도입하다","9"
"269","produce","생산하다","7"
"270","chase","쫓다, 추적","5"
"271","scratch","할퀴다, 긁다","7"
"272","crash","충돌(추락)하다, 와르르 무너지다","5"
"273","stare","응시하다","5"
"274","gaze","응시하다, 바라보다","4"
"275","scare","놀라게 하다, 놀라다","5"
"276","grab","움켜잡다","4"
"277","guard","지키다, 경계, 위병","5"
"278","discuss","토론하다","7"
"279","shrug","어깨를 으쓱하다","5"
"280","sniff","냄새 맡다","5"
"281","scream","날카롭게 소리치다","6"
"282","rid","제거 하다","3"
"283","surround","둘러싸다.","8"
"284","cleave","쪼개다, 찢다.","6"
"285","carve","새기다, 조각하다.","5"
"286","except","제외하다","6"
"287","invent","발명하다","6"
"288","search","찾다","6"
"289","abuse","남용하다, 학대하다.","5"
"290","owe","힘입다, 빛(의무)이 있다.","3"
"291","bless","축복하다","5"
"292","graduate","졸업하다","8"
"293","replace","~을 대신하다, 제 자리에 놓다.","7"
"294","collect","모으다, 수집하다.","7"
"295","upset","뒤엎다, 당황하게 한다.","5"
"296","arrest","체포하다, 체포","6"
"297","prove","증명하다","5"
"298","yell","외치다","4"
"299","howl","짖다, 울부짖다","4"
"300","halt","정지하다","4"
"301","leak","새다","4"
"302","behave","행동하다","6"
"303","wrap","싸다","4"
"304","locate","위치하다","6"
"305","charge","청구하다","6"
"306","review","복습하다","6"
"307","refuse","거절하다","6"
"308","complain","불평하다","8"
"309","remain","남다","6"
"310","warn","경고하다","4"
"311","bend","구부리다","4"
"312","suffer","겪다","6"
"313","whisper","속삭이다","7"
"314","prepare","준비하다","7"
"315","roar","으르렁거리다","4"
"316","float","뜨다","5"
"317","drag","질질 끌다","4"
"318","overhear","엿듣다","8"
"319","slide","미끄러지다","5"
"320","suck","빨다","4"
"321","bother","괴롭히다","6"
"322","deal","분배하다","4"
"323","treat","다루다","5"
"324","destroy","파괴하다","7"
"325","accept","받아들이다","6"
"326","depend","~에 의존하다","6"
"327","nod","끄덕이다","3"
"328","remove","옮기다","6"
"329","beat","때리다","4"
"330","clap","탁 치다","4"
"331","feed","먹을 것을 주다","4"
"332","obtain","얻다","6"
"333","drown","빠뜨리다 빠지다 빠져죽다","5"
"334","remind","생각나게 하다","6"
"335","occur","일어나다","5"
"336","ache","아프다","4"
"337","repeat","되풀이하다","6"
"338","attend","참석하다","6"
"339","sigh","한숨 쉬다","4"
"340","pray","빌다","4"
"341","press","누르다","5"
"342","bear","낳다","4"
"343","follow","따르다","6"
"344","hate","미워하다","4"
"345","frighten","깜짝 놀라게 하다","8"
"346","shout","외치다","5"
"347","mention","말하다","7"
"348","waste","낭비하다","5"
"349","borrow","빌리다","6"
"350","complete","완성하다","8"
"351","excellent","뛰어난","9"
"352","competent","유능한","9"
"353","religious","종교적인","9"
"354","favorite","아주 좋아하는","8"
"355","entire","전체의","6"
"356","primary","본래의","7"
"357","similar","비슷한","7"
"358","precious","귀중한","8"
"359","normal","보통의","6"
"360","popular","인기 있는","7"
"361","compulsory","의무적인","10"
"362","curious","호기심이 강한","7"
"363","independent","독립의","11"
"364","intimate","친밀한","8"
"365","delicious","맛있는","9"
"366","valuable","귀중한","8"
"367","grave","중대한","5"
"368","elementary","초보의","10"
"369","crazy","미친","5"
"370","contrary","반대의","8"
"371","regular","규칙적인","7"
"372","social","사회의","6"
"373","straight","똑바른","8"
"374","noble","고귀한","5"
"375","anxious","걱정되는","7"
"376","international","국제적인","13"
"377","greedy","탐욕스러운","6"
"378","stupid","어리석은","6"
"379","silly","어리석은","5"
"380","lonely","고독한","6"
"381","dirty","더러운","5"
"382","various","여러 가지의","7"
"383","private","개인의","7"
"384","vain","무익한","4"
"385","sore","아픈","4"
"386","fierce","사나운","6"
"387","firm","굳은","4"
"388","solar","태양의","5"
"389","smart","산뜻한","5"
"390","single","독신의","6"
"391","diligent","부지런한","8"
"392","serious","진지한","7"
"393","fresh","새로운","5"
"394","empty","빈","5"
"395","mild","온화한","4"
"396","amazing","놀라운","7"
"397","charming","매력적인","8"
"398","boring","지겨운","6"
"399","giant","거대한","5"
"400","huge","거대한","4"
"401","tiny","몹시 작은","4"
"402","fair","공명정대한","4"
"403","tough","단단한","5"
"404","foreign","외국의","7"
"405","modern","현대의","6"
"406","expensive","값비싼","9"
"407","harmful","해로운","7"
"408","calm","평온한","4"
"409","special","특별한","7"
"410","steady","확고한","6"
"411","hay","건초","3"
"412","revival","부활","7"
"413","million","백만","7"
"414","crop","농작물","4"
"415","shade","그늘","5"
"416","company","친구","7"
"417","canal","운하","5"
"418","wagon","짐마차","5"
"419","fact","사실","4"
"420","joy","기쁨","3"
"421","concert","음악회","7"
"422","rule","규정하다","4"
"423","suitcase","여행가방","8"
"424","weight","무게","6"
"425","hurray","만세","6"
"426","mail","우편물","4"
"427","log","통나무","3"
"428","hut","오두막집","3"
"429","tax","세금","3"
"430","dye","물감","3"
"431","earnings","벌이","8"
"432","flame","불꽃","5"
"433","shape","모양","5"
"434","chest","가슴","5"
"435","chain","사슬","5"
"436","cost","비용","4"
"437","coast","해안","5"
"438","circle","원, 집단","6"
"439","heart","심장","5"
"440","nature","자연","6"
"441","fever","열","5"
"442","tongue","혀","6"
"443","trust","신용","5"
"444","whisker","구레나룻","7"
"445","prison","형무소","6"
"446","blood","피","5"
"447","loaf","빵 한 덩어리","4"
"448","list","명부","4"
"449","fence","울타리","5"
"450","enemy","적","5"
"451","thief","도둑","5"
"452","data","자료","4"
"453","soldier","군인, 병사","7"
"454","musician","음악가","8"
"455","capital","수도, 자본","7"
"456","course","진로, 과정","6"
"457","diary","일기","5"
"458","squirrel","다람쥐","8"
"459","dawn","새벽","4"
"460","shadow","그림자","6"
"461","ditch","도랑","5"
"462","crew","승무원","4"
"463","stomach","위","7"
"464","neighbor","이웃사람","8"
"465","servant","하인","7"
"466","hunger","굶주림","6"
"467","tomb","묘, 무덤","4"
"468","taste","맛, 취미","5"
"469","sign","신호, 구호","4"
"470","stair","계단","5"
"471","trip","여행","4"
"472","brain","뇌, 머리","5"
"473","trumpet","나팔","7"
"474","speech","말, 연설","6"
"475","thumb","엄지손가락","5"
"476","horn","뿔, 경적","4"
"477","chief","우두머리, 주요한","5"
"478","trousers","바지","8"
"479","prince","왕자","6"
"480","force","힘, 강요하다","5"
"481","sight","광경, 경치","5"
"482","space","공간, 우주","5"
"483","wool","양모","4"
"484","expressway","고속도로","10"
"485","science","과학","7"
"486","examination","시험, 조사","11"
"487","jar","항아리","3"
"488","salt","소금","4"
"489","death","죽음, 사망","5"
"490","saw","톱, 톱으로 켜다","3"
"491","swing","그네, 진동","5"
"492","wish","소원, 원하다","4"
"493","grain","곡식, 낱알","5"
"494","eraser","지우개","6"
"495","alphabet","알파벳 문자","8"
"496","shoulder","어깨","8"
"497","nephew","조카","6"
"498","niece","조카딸","5"
"499","library","도서관","7"
"500","factory","공장","7"
"501","giraffe","기린","7"
"502","hawk","매","4"
"503","pigeon","비둘기","6"
"504","bowl","사발, 그릇","4"
"505","scene","장면, 현장","5"
"506","life","생명, 생활","4"
"507","earth","지구, 땅","5"
"508","pill","알약","4"
"509","math","수학","4"
"510","ocean","대양","5"
"511","price","값, 가격","5"
"512","row","줄, 열","3"
"513","schedule","예정표","8"
"514","machine","기계","7"
"515","route","길","5"
"516","ivy","담쟁이덩굴","3"
"517","gift","선물, 타고난 재능","4"
"518","candle","양초, 촛불","6"
"519","joke","농담, 농담을 하다","4"
"520","art","예술, 미술","3"
"521","corn","곡물","4"
"522","pet","애완동물, 귀여워하는","3"
"523","robber","강도","6"
"524","cheek","볼","5"
"525","clerk","사무원, 점원","5"
"526","cookie","쿠키, 맛있는 작은 과자","6"
"527","army","육군, 군대","4"
"528","nurse","간호사","5"
"529","master","주인, 정복하다","6"
"530","lock","자물쇠, 자물쇠를 채우다","4"
"531","moment","순간","6"
"532","sheet","침대의 시트, 종이 한 장","5"
"533","monk","승려","4"
"534","teenager","대 소년소녀","8"
"535","closet","벽장","6"
"536","handle","손잡이","6"
"537","guide","안내자, 안내하다","5"
"538","bar","막대기, 빗장","3"
"539","ostrich","타조, 방관자","7"
"540","knee","무릎","4"
"541","cricket","크리켓 경기","7"
"542","deck","갑판","4"
"543","bit","작은 조각, 조금","3"
"544","silk","비단","4"
"545","jean","진 바지, 진으로 만든 옷","4"
"546","cotton","솜, 면화","6"
"547","drum","북","4"
"548","sand","모래, 모래밭","4"
"549","shock","충격, 충격을 주다","5"
"550","march","행진, 행진하다","5"
"551","cage","새장, 우리","4"
"552","whole","전부, 전부의","5"
"553","change","변화, 잔돈","6"
"554","department","부, 백화점의 매장","10"
"555","office","사무실, 회사","6"
"556","ticket","표, 입장권","6"
"557","energy","힘, 활기","6"
"558","idea","생각, 이념","4"
"559","hospital","병원","8"
"560","noise","소리, 소음","5"
"561","sample","견본","6"
"562","example","예, 보기","7"
"563","lesson","학과, 교훈","6"
"564","plenty","풍부, 많은","6"
"565","luck","행운","4"
"566","comedy","희극, 코미디","6"
"567","health","건강","6"
"568","history","역사","7"
"569","forest","숲","6"
"570","stream","흐름, 흐르다","6"
"571","future","미래, 미래의","6"
"572","state","상태, 국가","5"
"573","temple","절, 사원","6"
"574","dictionary","사전","10"
"575","grammar","문법","7"
"576","college","단과대학, 전문학교","7"
"577","husband","남편","7"
"578","daughter","딸","8"
"579","captain","우두머리, 선장","7"
"580","booth","오두막집, 작은 방","5"
"581","iceberg","빙산","7"
"582","bubble","거품","6"
"583","bottom","밑, 밑바닥","6"
"584","prize","상, 상품","5"
"585","bean","콩","4"
"586","race","경주, 민족","4"
"587","engineer","기사, 공학자","8"
"588","photographer","사진사","12"
"589","reason","이유, 이성","6"
"590","subway","지하도, 지하철","6"
"591","fog","안개","3"
"592","answer","대답, 대답하다","6"
"593","dinning","room 식당","7"
"594","step","걸음, 걷다","4"
"595","heat","열, 더위","4"
"596","bone","뼈","4"
"597","plant","식물, 식물을 심다","5"
"598","lamb","새끼냔","4"
"599","rate","비율, 속도","4"
"600","report","보고, 보고하다","6"
"601","turtle","바다거북","6"
"602","bay","만","3"
"603","holiday","휴일, 휴가","7"
"604","center","중심, 중심지","6"
"605","cash","현금, 현금으로 바꾸다","4"
"606","wolf","이리, 늑대","4"
"607","operator","교환수","8"
"608","fur","부드러운 털, 모피","3"
"609","shore","물가, 바닷가","5"
"610","owl","올빼미","3"
"611","hunter","사냥꾼","6"
"612","pumpkin","호박","7"
"613","handshake","악수","9"
"614","bike","자전거","4"
"615","beach","해안","5"
"616","god","신","3"
"617","cough","기침, 기침을 하다","5"
"618","shell","조개","5"
"619","business","사업, 일","8"
"620","restaurant","식당","10"
"621","sheep","양","5"
"622","officer","공무원, 장교","7"
"623","hometown","고향","8"
"624","coil","코일, 감긴 것","4"
"625","ceiling","천장","7"
"626","turkey","칠면조","6"
"627","towel","수건, 타월","5"
"628","matter","일, 문제","6"
"629","chopstick","젓가락","9"
"630","seat","좌석, 앉히다","4"
"631","board","판자","5"
"632","goal","목표, 골","4"
"633","drugstore","약국","9"
"634","rat","쥐, 들쥐","3"
"635","butterfly","나비","9"
"636","flute","플루트, 피리","5"
"637","couple","한 쌍, 커플","6"
"638","beer","맥주","4"
"639","background","배경","10"
"640","bottle","병","6"
"641","body","몸, 신체","4"
"642","group","집단","5"
"643","village","마을","7"
"644","beef","쇠고기","4"
"645","load","짐, 부담","4"
"646","coin","동전, 화폐","4"
"647","bookstore","서점","9"
"648","label","꼬리표, 딱지","5"
"649","port","항구","4"
"650","quarter","분의, 분","7"
"651","sunrise","해돋이","7"
"652","sunshine","햇빛","8"
"653","wedding","결혼, 결혼식","7"
"654","crown","왕관","5"
"655","seed","씨, 씨를 뿌리다","4"
"656","coal","석탄","4"
"657","comb","빗, 빗질하다","4"
"658","dream","꿈, 꿈을 꾸다","5"
"659","sugar","설탕","5"
"660","mile","마일","4"
"661","flashlight","카메라의 플래시, 회중전등","10"
"662","vegetable","야채","9"
"663","mouse","생쥐","5"
"664","wood","나무, 숲","4"
"665","war","전쟁","3"
"666","ground","땅, 운동장","6"
"667","belt","띠, 허리띠","4"
"668","tourist","여행자, 관광객","7"
"669","airport","공항","7"
"670","passport","여권","8"
"671","plate","접시","5"
"672","stone","돌","5"
"673","downtown","번화가","8"
"674","cousin","사촌","6"
"675","tooth","이","5"
"676","potato","감자","6"
"677","blanket","담요","7"
"678","creek","시냇물","5"
"679","nail","손톱, 발톱","4"
"680","letter","편지, 문자","6"
"681","date","날짜, 데이트 약속","4"
"682","store","가게, 저축하다","5"
"683","beggar","거지","6"
"684","bedside","침대 곁","7"
"685","deer","사슴","4"
"686","bill","계산서, 지폐","4"
"687","doll","인형","4"
"688","pepper","후추","6"
"689","frog","개구리","4"
"690","rest","휴식, 나머지","4"
"691","tower","탑","5"
"692","bridge","다리","6"
"693","cloth","천, 직물","5"
"694","post","우편, 우편물","4"
"695","snake","뱀","5"
"696","job","직업, 일","3"
"697","town","읍, 도시","4"
"698","fun","놀이, 재미","3"
"699","bathroom","욕실","8"
"700","tail","꼬리","4"
"701","mayor","시장","5"
"702","piece","한 조각","5"
"703","fruit","과일","5"
"704","british","영국인, 영국의","7"
"705","french","프랑스 사람, 프랑스어","6"
"706","German","독일사람, 독일어","6"
"707","sale","판매, 염가판매","4"
"708","rope","밧줄","4"
"709","umbrella","우산","8"
"710","dollar","달러","6"
"711","mistake","잘못, 잘못 알다","7"
"712","birth","출생","5"
"713","pilot","조종사, 안내인","5"
"714","none","아무도 ~않다","4"
"715","front","정면, 앞부분","5"
"716","present","현재, 선물","7"
"717","nickname","별명, 애칭","8"
"718","telephone","전화, 전화를 걸다","9"
"719","pair","한 쌍","4"
"720","weather","날씨","7"
"721","dish","접시, 요리","4"
"722","hole","구멍","4"
"723","plane","비행기","5"
"724","living","room 거실","6"
"725","gun","총","3"
"726","meat","고기","4"
"727","cover","덮개, 덮다","5"
"728","grass","풀, 잔디","5"
"729","watch","손목시계, 주의","5"
"730","word","낱말, 단어","4"
"731","explain","설명하다","7"
"732","wear","입다, 착용하다","4"
"733","amuse","재미있게 하다","5"
"734","suppose","상상하다, 생각하다","7"
"735","leap","뛰다","4"
"736","bury","묻다","4"
"737","engage","고용하다, 약속하다","6"
"738","sow","씨를 뿌리다","3"
"739","lift","들어 올리다","4"
"740","bow","절하다, 절","3"
"741","rub","비비다, 문지르다","3"
"742","bite","물다, 물어뜯다","4"
"743","vote","투표하다, 투표","4"
"744","hop","한발로 뛰다","3"
"745","imagine","상상하다, 생각하다","7"
"746","allow","허락하다","5"
"747","offer","제공하다","5"
"748","gain","얻다, 이기다","4"
"749","alarm","놀라게 하다, 경보하다","5"
"750","obey","복종하다","4"
"751","steal","훔치다","5"
"752","dig","파다","3"
"753","choose","고르다, 선택하다","6"
"754","receive","받다","7"
"755","bet","돈을 걸다","3"
"756","hurt","상처를 입히다","4"
"757","burn","타다, 태우다","4"
"758","sink","가라앉다","4"
"759","decide","결정하다, 결심하다","6"
"760","beg","구걸하다, 청하다","3"
"761","reply","대답(하다)","5"
"762","tear","찢다, 찢어지다","4"
"763","flow","흐르다, 넘쳐흐르다","4"
"764","remember","기억하다, 생각해내다","8"
"765","appear","나타나다, ~인 것 같다","6"
"766","breathe","숨 쉬다, 호흡하다","7"
"767","whistle","휘파람을 불다, 휘파람","7"
"768","draw","끌다, 당기다","4"
"769","sound","소리가 나다, 소리","5"
"770","save","구하다, 저축하다","4"
"771","continue","계속하다","8"
"772","check","저지하다, 대조하다","5"
"773","sail","항해하다, 돛","4"
"774","wake","깨다, 깨우다","4"
"775","agree","동의하다","5"
"776","hang","걸다, 매달다","4"
"777","record","기록","6"
"778","drop","떨어지다, 떨어뜨리다","4"
"779","climb","기어오르다, 오르다","5"
"780","add","더하다, 보태다","3"
"781","shine","빛나다","5"
"782","invite","초대하다","6"
"783","join","결합하다, 참가하다","4"
"784","hide","감추다, 숨다","4"
"785","bring","가져오다, 데려오다","5"
"786","wink","눈을 깜박거리다, 눈짓하다","4"
"787","shoot","쏘다, 사격하다","5"
"788","roll","구르다, 굴리다","4"
"789","pull","잡아당기다, 끌다","4"
"790","push","밀다","4"
"791","guess","추측하다, 추측","5"
"792","belong","누구누구에게 속하다","6"
"793","happen","일어나다, 생기다","6"
"794","pick","고르다, 줍다","4"
"795","shake","떨다, 흔들다","5"
"796","fill","채우다, 가득하다","4"
"797","fail","실패하다","4"
"798","fight","싸우다, 전투","5"
"799","fear","두려워하다, 두려움","4"
"800","carry","나르다, 운반하다[]","5"
"801","dive","다이빙하다, 잠수하다","4"
"802","win","이기다, 얻다","3"
"803","ride","타다, 타고 가다","4"
"804","turn","돌다, 변화하다","4"
"805","need","필요로 하다, 필요","4"
"806","build","짓다, 건축하다","5"
"807","hurry","서두르다, 서두름","5"
"808","return","돌아가다, 돌아오다","6"
"809","believe","믿다","7"
"810","surprise","놀라다, 놀람","8"
"811","gather","모으다","6"
"812","throw","던지다","5"
"813","raise","올리다, 일으키다","5"
"814","count","세다, 계산하다","5"
"815","smell","냄새를 맡다, 냄새","5"
"816","spend","소비하다, 지내다","5"
"817","pitch","던지다","5"
"818","pop","펑하고 소리 나다, 대중음악","3"
"819","blow","불다","4"
"820","miss","놓치다, 그리워하다","4"
"821","excuse","용서하다, 변명하다","6"
"822","hit","치다","3"
"823","tie","매다, 묶다","3"
"824","touch","닿다, 감동시키다","5"
"825","stay","머무르다","4"
"826","enjoy","즐기다","5"
"827","lose","잃다, 지다","4"
"828","close","닫다, 끝나다","5"
"829","arrive","도착하다","6"
"830","travel","여행하다, 여행","6"
"831","reach","도착하다","5"
"832","hold","쥐다, 개최하다","4"
"833","worry","걱정하다, 괴롭히다","5"
"834","marry","결혼하다","5"
"835","expect","기대하다, ~라고 생각하다","6"
"836","understand","이해하다, 알다","10"
"837","become","~이 되다, 어울리다","6"
"838","break","부수다, 깨뜨리다","5"
"839","smoke","담배를 피우다, 연기","5"
"840","lend","빌려주다","4"
"841","shut","닫다","4"
"842","sleep","자다","5"
"843","lay","눕히다, 놓다","3"
"844","paint","그리다, 페인트를 칠하다","5"
"845","lead","인도하다, 지내다","4"
"846","pass","지나가다, 합격하다","4"
"847","hand","주다, 건네주다","4"
"848","ancient","고대의","7"
"849","nuclear","핵의","7"
"850","necessary","필요한","9"
"851","common","공통의, 보통의","6"
"852","inner","안쪽의","5"
"853","thirsty","목마른","7"
"854","thin","얇은, 야윈","4"
"855","gray","회색, 회색의","4"
"856","famous","유명한","6"
"857","industrial","산업의, 공업의","10"
"858","silent","조용한, 침묵의","6"
"859","absent","결석한","6"
"860","flat","평평한","4"
"861","main","주요한","4"
"862","wild","야생의, 난폭한","4"
"863","wet","젖은","3"
"864","blind","눈먼","5"
"865","dumb","벙어리의","4"
"866","sharp","날카로운","5"
"867","terrible","끔직한, 무서운","8"
"868","grand","웅장한, 화려한","5"
"869","homesick","고향을 그리워하는, 향수병의","8"
"870","bound","~로 출발하려고 하는","5"
"871","fat","살찐, 지방","3"
"872","strange","이상한, 낯선","7"
"873","pleasant","기분 좋은, 유쾌한","8"
"874","handsome","잘생긴, 멋진","8"
"875","equal","같은, 동등한","5"
"876","dear","친애하는, 값비싼","4"
"877","sweet","달콤한","5"
"878","dull","우둔한, 무딘","4"
"879","weak","약한","4"
"880","bright","밝은, 영리한","6"
"881","honest","정직한","6"
"882","elder","손위의, 연상의","5"
"883","such","그러한, 이러한","4"
"884","able","유능한, 할 수 있는","4"
"885","loud","목소리가 큰, 시끄러운","4"
"886","simple","간단한, 단순한","6"
"887","clever","영리한","6"
"888","proud","자랑스러운, 오만한","5"
